Author,Year,Paper,Plots,Description,Link,Diagnostic,Facets,Facet_x,Facet_y,plot_type,x_axis,y_axis,color,shape,other_note,performance_criteria_bias,perfomance_criteria_MAE,performance_criteria_MSE/RMSE,performance_criteria_SE,performance_criteria_correlation,comparison_raw,comparison_truth,comparison_weight,comparison_MRP,comparison_other_study,comparison_other_method
Enns_Koch,2013,Public Opinion in the U.S. States: 1956 to 2010,Figure 2,Comparison between MRP and other estimates,,1,3,NA,case,line plot,time,estimates,NA,estimation methods,NA,0,0,0,0,0,0,0,0,0,1,0
Enns_Koch,2013,Public Opinion in the U.S. States: 1956 to 2010,Figure 3,Display of the MRP result,,0,3,case,NA,dot plot with CI bar,estimates,small area,time,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Enns_Koch,2013,Public Opinion in the U.S. States: 1956 to 2010,Figure 4,Display of the MRP result,,0,2,case,NA,dot plot with error bar,estimates,small area,time,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Enns_Koch,2013,Public Opinion in the U.S. States: 1956 to 2010,Figure 5,Comparison between MRP and other estimates,,1,4,small area,small area,line plot,time,estimates,NA,estimation methods,two MRP estimation for different case and one other study estimation,0,0,0,0,0,0,0,0,0,1,0
Green_et_al,2019,Assessing local chlamydia screening performance by combining survey and administrative data to account for differences in local populationcharacteristics,Figure 4,Comparison between MRP and true data,,1,4,display type,display type,scatter plot,estimates,truth,NA,NA,scatter plot using 95% credible interval,0,0,0,0,0,0,1,0,0,0,0
Green_et_al,2019,Assessing local chlamydia screening performance by combining survey and administrative data to account for differences in local populationcharacteristics,Figure 5,Comparison between MRP and true data,,1,2,estimation methods,NA,bubble plot,estimates,truth,NA,NA,the buble size is the sample size,0,0,0,0,0,0,1,0,0,0,0
Green_et_al,2019,Assessing local chlamydia screening performance by combining survey and administrative data to account for differences in local populationcharacteristics,Figure 6,Comparison between MRP and true data of previous year,,1,1,NA,NA,choropleth map,NA,NA,estimates,NA,the color here shows the estimates the posterior probability of previous year exceed the MRP result,0,0,0,0,0,0,1,0,0,0,0
Hoover_Deghani,2020,"The Big, the Bad, and the Ugly: Geographic Estimation With Flawed Psychological Data",Figure 1,Comparison between MRP and direct estimates,,1,6,simulation scenario,performance criteria,dot plot with error bar,sample size,performance criteria,estimation methods,NA,NA,1,0,1,0,0,1,0,0,0,0,0
Hoover_Deghani,2020,"The Big, the Bad, and the Ugly: Geographic Estimation With Flawed Psychological Data",Figure 2,Comparison between MRP and other estimation methods,,1,5,estimation methods,NA,scatter plot,estimates,truth,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,1
Jonge_et_al,2018,Predicting State Presidential Election Results using National Tracking Polss and Multilevel Regression with Poststratification (MRP),Figure 2,Comparison between MRP and truth,,1,2,case,NA,scatter plot,truth,estimates,NA,NA,labelled point with state name,0,0,0,0,0,0,1,0,0,0,0
Jonge_et_al,2018,Predicting State Presidential Election Results using National Tracking Polss and Multilevel Regression with Poststratification (MRP),Figure 3,Display of MRP result,,0,2,case,NA,dot plot with error bar,estimates,small area,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Jonge_et_al,2018,Predicting State Presidential Election Results using National Tracking Polss and Multilevel Regression with Poststratification (MRP),Figure 4,Display of MRP result,,0,3,NA,case,line plot,time,estimates,NA,small area,NA,0,0,0,0,0,0,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 1,Comparison of performance criteria MRP vs Direct Estimates,,1,1,NA,NA,dot plot,performance criteria,sample size,estimation methods,small area,NA,0,1,0,0,0,1,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 2,Display of MRP result,,0,1,NA,NA,dot plot,time,estimates,small area,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 3,Display of MRP result,,0,3,NA,small area,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 4,Display of MRP result,,0,2,case,NA,scatter plot,estimates,estimates,NA,NA,comparing estimates between two points of time ,0,0,0,0,0,0,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 5,Display of MRP result,,0,2,NA,case,dot plot,time,estimates,small area,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 6,Display of MRP result,,0,6,case,small area,choropleth map,NA,NA,estimates,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 7,Display of MRP result,,0,3,small area,small area,scatter plot,estimates,estimates,NA,NA,comparing estimates between two points of time ,0,0,0,0,0,0,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 8,Display of MRP result,,0,3,small area,small area,scatter plot,small area,estimates,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
Kim_Urpelainen,2018,"Environmental public opinion in U.S. states, 1973–2012",Figure 9,Display of MRP result,,0,1,NA,NA,dot plot,case,estimates,time,small area,NA,0,0,0,0,0,0,0,0,0,0,0
